"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"JUST","803","Professionalism in Justice Studies","13248","01","LEC","14:10","16:00","T","1","HS","250B","Trombley, J Kirk","15","0","",""
"JUST","830","Theories of Justice","14529","01","LEC","14:10","17:00","R","4","HS","250B","Abbott, Katherine R","15","0","",""
"JUST","895","Reading and Research","13234","01","SEM","Hours Arranged","TBA","TBA","1","TBA","","TBA","5","0","",""
"KIN","684","Emergency Medical Care: Emergency Medical Technician (EMT)","13009","01","LEC","09:10","10:00","MWF","4","HORT","204","TBA","50","0","","ANSC 511 May be taken concurrently or ANSC 512 May be taken concurrently or ZOOL 401 May be taken concurrently or BMS 507 May be taken concurrently or BMS 508 May be taken concurrently"
"KIN","685","Emergency Medical Care: EMT Lab","13010","01","LAB","14:10","18:00","R","2","NHH","G37","TBA","25","0","","( ANSC 511 May be taken concurrently and ANSC 512 May be taken concurrently ) or ZOOL 401 May be taken concurrently or ( BMS 507 May be taken concurrently and BMS 508 May be taken concurrently ) or ZOOL 401"
"KIN","685","Emergency Medical Care: EMT Lab","14418","02","LAB","12:10","16:00","F","2","NHH","G37","TBA","25","0","","( ANSC 511 May be taken concurrently and ANSC 512 May be taken concurrently ) or ZOOL 401 May be taken concurrently or ( BMS 507 May be taken concurrently and BMS 508 May be taken concurrently ) or ZOOL 401"
"KIN","693","Teaching Assistantship","10453","A01","PRA","Hours Arranged","TBA","TBA","2","TBA","","Yun, JK","10","0","",""
"KIN","693","Teaching Assistantship","11213","G01","PRA","Hours Arranged","TBA","TBA","2","TBA","","TBA","10","0","",""
"KIN","696","Independent Study","10354","01","INV","Hours Arranged","TBA","TBA","2","TBA","","Yun, JK","12","0","",""
"KIN","696W","Independent Study","11280","01","INV","Hours Arranged","TBA","TBA","2","TBA","","Yun, JK","1","0","WRIT",""
"KIN","706","Neurology","10355","01","LEC","11:10","12:30","TR","4","NHH","208","Moon, Sanghee","88","0","","BMS 507 and BMS 508"
"KIN","707","Neurology Lab","13969","01","LAB","11:10","13:00","M","2","SLS","215","Moon, Sanghee","22","0","","( BMS 507 and BMS 508 ) or COMM 521"
"KIN","707","Neurology Lab","13970","02","LAB","09:10","11:00","W","2","SLS","215","Moon, Sanghee","22","0","","( BMS 507 and BMS 508 ) or COMM 521"
"KIN","707","Neurology Lab","13971","04","LAB","09:10","11:00","M","2","SLS","215","Moon, Sanghee","22","0","","( BMS 507 and BMS 508 ) or COMM 521"
"KIN","707","Neurology Lab","13972","05","LAB","11:10","13:00","W","2","SLS","215","Moon, Sanghee","22","0","","( BMS 507 and BMS 508 ) or COMM 521"
"KIN","800","Adapted Physical Education Service Delivery Models","15769","01","LEC","14:10","16:00","MW","4","NHH","G37","McNamara, Scott","10","0","",""
"KIN","802","Health Content and Youth Risk Behaviors","15040","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Alperin, Holly L","10","0","",""
