"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"ARTS","2720","Clay: Wheel Throwing","94740","A","O","11:30","13:20","T R","3","","","H. Barringer","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2720","Clay: Wheel Throwing","95751","B","O","13:40","15:30","T R","3","","","H. Barringer","0","0","AH1","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2750","Sculpture","94741","A","V","12:40","14:20","T R","3","","","N. Gupit","0","0","","ARTS 1010 , ARTS 1011 , ARTS 1014 , ARTS 1100 , or ARTS 1400"
"ARTS","2881","Cur&Practice: Elementary Art","94936","A","SEM","14:20","17:20","W","4","","","E. White","0","0","","Eighteen hours in Studio Art; minimum Junior standing"
"ARTS","2881","Cur&Practice: MS HS Art","94743","B","LEC","14:20","17:20","M","4","","","J. Bradshaw","0","0","","Eighteen hours in Studio Art; minimum Junior standing"
"ARTS","3200","Projects in Painting","94744","A","O","11:40","13:30","M W","3","","","S. Budington","0","0","","ARTS 2100 , ARTS 2210 , ARTS 2200 , or ARTS 2220 ; minimum Junior standing"
"ARTS","3600","Advanced Digital Art","95752","A","G","11:50","13:40","T R","3","","","J. Mayhew","0","0","","ARTS 2400 , ARTS 2410 , ARTS 2520 , ARTS 2600 , or ARTS 2610 ; minimum Junior standing"
"ARTS","3750","Advanced Sculpture","95753","A","O","09:00","10:50","M W","3","","","M. McDevitt","0","0","","ARTS 2750 , ARTS 2710 , or ARTS 2720 ; minimum Junior standing"
"ARTS","3991","Internship","93526","A","IND","17:05","19:05","W","1 to 18","","","P. Fraser","0","0","","Six hours of Studio Art courses at the 2000-level; Junior standing; departmental permission"
"ARTS","3991","Internship","93840","B","IND","17:05","19:05","W","1 to 18","","","P. Fraser","0","0","","Six hours of Studio Art courses at the 2000-level; Junior standing; departmental permission"
"ARTS","3995","Undergraduate Research","93528","A","TD","17:05","19:05","W","1 to 18","","","P. Fraser","0","0","",""
"ARTS","4881","Internship: Student Teaching","94100","A","IND","TBA","TBA","","12","","","E. White","0","0","","Senior standing in Art Education major, PRAXIS Core, completion of all course requirements, GPA of at least 3"
"ARTS","4885","Teaching Internship Seminar","94127","A","SEM","16:00","19:00","R","3","","","E. White","0","0","","ARTS 2881 Sections A and B, ARTS 4870"
"ARTS","4994","Teaching Assistantship","93527","A","IND","17:05","19:05","W","1 to 3","","","P. Fraser","0","0","",""
"ARTS","4996","Honors","93362","A","H","TBA","TBA","","1 to 6","","","P. Fraser","0","0","",""
"ASTR","1400","Exploring the Cosmos w/lab","93279","A","LEC","13:15","14:30","T R","4","","","J. Cooney","0","0","N2|QD",""
"ASTR","1400","Exploring the Cosmos w/lab","93298","L01","LAB","14:50","16:05","R","4","","","J. Cooney","0","0","N2|QD",""
"ASTR","1400","Exploring the Cosmos w/lab","93299","L02","LAB","16:25","17:40","R","4","","","J. Cooney","0","0","N2|QD",""
"ASTR","1400","Exploring the Cosmos w/lab","93300","L03","LAB","18:00","19:15","R","4","","","J. Cooney","0","0","N2|QD",""
"ASTR","1405","Exploring the Cosmos","93281","A","LEC","13:15","14:30","T R","3","","","J. Cooney","0","0","N1|QD",""
"ASTR","2100","The Big Bang","95622","A","LEC","14:50","16:05","T R","3","","","J. Cooney","0","0","","ASTR 1400 or ASTR 1405 ; MATH 1034 or equivalent"
"ASTR","3820","Modern Astrophysics","95631","A","LEC","10:05","11:20","T R","3","","","J. Cooney","0","0","","MATH 1224 , MATH 1242 , or MATH 1248 ; PHYS 1500 or PHYS 1600"
